,RSS,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
161,2.23322,3.4764699999999995,36.3291,0.639817,8.08031,28.4379,1.49569,5.23203,100.0,100.0,0.01,81.3832,67.0736,2.57658,4.90169,0.01,4.2152699999999985,2.5514900000000003
162,2.23322,4.17687,43.6489,0.768721,4.1634699999999984,51.1653,0.938855,7.72538,83.5517,100.0,0.01,17.6126,74.6894,1.00996,13.5735,0.0100043,47.0439,28.4753
163,2.23322,1.87088,19.5507,0.344321,17.6475,95.3531,3.5751,1.32666,18.9696,100.0,0.01,29.8612,46.4619,1.27732,6.7732,0.0100001,58.6819,35.5195
164,2.23322,9.52519,99.5384,1.75303,11.3056,82.0491,2.17675,4.45078,74.3652,100.0,0.01,44.1753,82.8029,1.60719,10.0513,0.550129,65.0133,39.3529
165,2.23322,9.55783,99.8794,1.7590400000000002,3.05908,12.5191,0.586434,5.90114,100.0,100.0,0.01,29.9147,31.3021,1.07256,5.47219,0.01,26.9323,16.3021
166,2.23322,9.56931,99.9987,1.76115,28.7586,100.0,5.30747,4.44575,85.8684,100.0,0.01,100.0,80.8068,3.13188,4.8598,0.01,15.937,9.64662
167,2.23322,9.40474,98.2797,1.7308599999999998,25.4997,100.0,4.84204,4.69299,82.0734,100.0,0.01,100.0,98.0221,3.47027,5.3022800000000005,0.01,19.51,11.8095
168,2.23322,4.75576,49.6485,0.875073,2.18759,3.01589,0.295762,0.0104984,10.8955,100.0,0.01,25.2511,0.202314,0.014277,2.74969,0.01,79.8454,48.3416
169,2.23322,1.83713,19.1981,0.33811,15.1965,65.3466,2.35542,1.39147,66.0405,100.0,0.01,78.7249,37.6805,0.985093,7.99332,0.8954270000000001,10.236,6.19576
170,2.23322,9.55289,99.8279,1.75813,3.08018,23.9855,0.621012,2.12496,30.8109,100.0,0.01,36.4717,81.0076,1.53758,10.074,0.36105,83.4416,50.5071
171,2.23322,9.56277,99.9308,1.75995,6.69935,99.9999,1.53527,2.8355900000000003,29.5344,100.0,0.01,9.546,50.3101,0.569653,16.1729,0.01,94.1035,56.9607
172,2.23322,7.160760000000002,74.8302,1.31788,27.5904,100.0,5.1435900000000006,4.42365,82.4262,100.0,0.01,100.0,86.4898,3.25018,5.0064,0.01,97.246,58.8627
173,2.23322,6.567139999999998,68.6272,1.20863,28.4454,100.0,5.26384,5.22796,100.0,100.0,0.01,100.0,82.2873,3.16343,4.89792,0.01,58.6496,35.5001
174,2.23322,0.912388,9.53444,0.167917,3.85056,22.4472,0.7904100000000001,4.49346,61.8877,100.0,0.01,9.25559,15.936,0.4117020000000001,7.1954600000000015,0.01,11.2289,6.7969100000000005
175,2.23322,9.56921,99.9981,1.76113,25.1736,100.0,4.79401,5.77425,100.0,100.0,0.01,100.0,100.0,3.50558,5.35285,0.01,25.4097,15.3805
176,2.23322,6.08985,63.6382,1.12077,2.48755,7.25191,0.43832,0.7398100000000001,17.0961,100.0,0.01,61.4237,36.3167,1.59962,4.2987199999999985,0.01,99.993,60.5265
177,2.23322,7.86263,82.1645,1.44705,18.9291,76.6532,3.62031,5.822,99.4154,100.0,0.01,25.3605,26.115,0.902105,5.42952,0.01,33.8871,20.5119
178,2.23322,4.48405,46.8584,0.8252520000000001,31.6561,100.0,5.70094,4.72011,100.0,100.0,0.01,99.9565,68.433,2.84615,4.54188,0.01,45.6754,27.6473
179,2.23322,9.55427,99.8421,1.7583799999999998,0.500793,7.623410000000002,0.114935,9.63346,99.9977,100.0,0.01,14.5674,78.4577,0.872442,16.4645,0.01,74.0241,44.8074
180,2.23322,5.43525,56.7976,1.00031,5.4911900000000005,21.2808,1.03989,4.82645,85.1844,100.0,0.01,62.6622,60.2961,2.15404,5.25636,0.01,99.9983,60.5298
181,2.23322,9.50136,99.2891,1.74865,14.3861,57.1522,2.73971,5.27166,91.3009,100.0,0.01,100.0,99.9987,3.50539,5.35317,0.01,0.937711,0.567596
182,2.23322,8.23044,86.0092,1.51475,14.4298,99.7896,2.8952,4.46898,65.7343,100.0,0.01,34.5345,67.4485,1.43431,8.95491,0.265701,97.1157,58.7832
183,2.23322,3.78582,39.5618,0.696749,13.1554,38.7501,2.32484,3.26589,74.6673,100.0,0.01,31.2872,18.8361,0.8238059999999999,4.32852,0.01,26.681,16.15
184,2.23322,5.17554,54.0417,0.95217,1.69792,7.845739999999998,0.334136,0.902344,13.7132,99.0875,0.010003299999999998,0.308473,0.399174,0.0123775,5.98958,0.0102045,8.958060000000003,5.42221
185,2.23322,5.70701,59.6383,1.05033,19.9169,68.8567,3.67054,1.83259,35.5863,100.0,0.01,100.0,80.0124,3.11461,4.83961,0.01,61.2879,37.0974
186,2.23322,4.30271,44.9632,0.791877,15.5414,46.7384,2.76222,4.4778699999999985,99.998,100.0,0.01,67.8506,42.4714,1.83018,4.39025,0.01,1.79362,1.08568
187,2.23322,2.48923,26.0124,0.458122,18.5802,100.0,3.76143,2.94639,42.2157,100.0,0.01,39.5631,61.2307,1.6887299999999998,6.752210000000002,0.01,21.32,12.905
188,2.23322,1.9083,19.9417,0.351207,2.61862,9.17485,0.467088,3.12059,68.6884,100.0,0.01,62.3802,45.999,1.70778,5.17401,0.119503,37.1678,22.4976
189,2.23322,7.22815,75.5349,1.33029,18.6852,31.4271,2.74306,0.683053,55.154,100.0,0.01,79.1569,9.16753,0.5792010000000001,3.0551,0.0100024,32.2879,19.5436
