,Time,A,Ap,Bp,B,PT,Stim,A_wb,Ap_wb,B_wb,Bp_wb,mySubsA0,mySubsA1,mySubsA2,A_wb_DVT0,A_wb_DVT1,A_wb_DVT2,A_wb_DVT3,A_wb_DVT4,A_wb_DVT5,Ap_wb_DVT0,Ap_wb_DVT1,Ap_wb_DVT2,Ap_wb_DVT3,Ap_wb_DVT4,Ap_wb_DVT5,B_wb_DVT0,B_wb_DVT1,B_wb_DVT2,B_wb_DVT3,B_wb_DVT4,B_wb_DVT5,Bp_wb_DVT0,Bp_wb_DVT1,Bp_wb_DVT2,Bp_wb_DVT3,Bp_wb_DVT4,Bp_wb_DVT5,PTSpeed,k1,k2,k3,k4,A_T,B_T,index,dataKey
12,120,1.4513200000000002,1.24868,1.97587,1.42413,120,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
13,130,1.4513200000000002,1.24868,1.97587,1.42413,130,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
14,140,1.4513200000000002,1.24868,1.97587,1.42413,140,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
15,150,1.4513200000000002,1.24868,1.97587,1.42413,150,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
16,160,1.4513200000000002,1.24868,1.97587,1.42413,160,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
17,170,1.4513200000000002,1.24868,1.97587,1.42413,170,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
18,180,1.4513200000000002,1.24868,1.97587,1.42413,180,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
19,190,1.4513200000000002,1.24868,1.97587,1.42413,190,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
20,200,1.4513200000000002,1.24868,1.97587,1.42413,200,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
21,210,1.4513200000000002,1.24868,1.97587,1.42413,210,1,2.7,1.24868,3.4,1.97587,0.269999,0.0999998,0.117647,2.7,2.7,2.7,2.7,2.7,2.7,0.899999,1.24033,1.27084,1.25947,1.25216,1.24956,3.4,3.4,3.4,3.4,3.4,3.4,1.7,1.8199900000000002,1.9235200000000001,1.9622700000000002,1.97311,1.9755200000000002,1,0.0999998,0.117647,0.111099,0.09998889999999999,2.7,3.4,0,cellLineB
