,RSS,AAB,InsulinB,PI3K_T_MCF7,RICTOR_T_MCF7,RPTOR_T_MCF7,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7
156,0.8493850000000001,0.108051,0.569443,0.012381999999999999,0.0247393,2.07795,43.381,0.383285,0.604957,6.3806400000000005,4.36766,12.3128,0.291425,1.82925,98.8182,0.197588,0.010021299999999999,0.3236,0.09030239999999999,0.0100001,5.7424599999999995,9.15024,2.61362,0.030284,55.0992,24.1829,13.8282,5.38693,5.00275,30.6733,98.3635,0.0100006,94.9185,99.8413,4.83036,79.4307
157,0.8493850000000001,0.378945,0.10593699999999999,0.7479399999999999,61.585,27.8196,24.9774,0.0187843,0.0348718,0.356572,0.809207,10.4845,1.1839600000000001,0.227517,91.2428,5.50833,0.010009100000000002,0.149457,0.106679,68.4531,6.01013,23.9297,0.6039180000000001,0.0156797,0.33668899999999996,11.0577,36.2206,35.0692,52.1765,2.09553,10.0169,17.5866,7.82083,23.9839,2.8844,51.001999999999995
158,0.8493850000000001,0.331798,0.408057,0.479547,7.1946699999999995,13.3181,2.06323,0.010026799999999999,0.132778,0.0108193,2.3541,0.0311834,53.042,2.54789,100.0,100.0,0.010095999999999999,0.553191,67.124,19.0409,15.2483,22.0592,100.0,63.5792,55.2225,10.2556,62.3627,2.89589,96.9144,32.2996,11.8237,0.0102989,57.5473,16.6938,6.06215,6.320869999999999
159,0.8493850000000001,0.285055,0.146021,0.490336,3.51411,13.205,77.051,1.95155,0.328314,0.212694,12.4621,7.34445,40.335,9.32213,83.2917,6.361000000000001,0.01,0.404646,0.0142138,49.6855,29.4013,9.6874,32.6473,33.3259,4.0601199999999995,0.5298109999999999,0.13560899999999998,40.5963,36.2945,4.32504,1.7831099999999998,13.5962,19.8386,4.25523,72.6451,78.7455
160,0.8493850000000001,0.277406,0.458139,0.013302600000000001,0.0260262,1.5494299999999999,0.5519569999999999,6.52517,22.980999999999998,0.054413699999999995,14.6353,38.1255,0.188883,0.49949899999999997,71.4017,0.0293349,0.011101,0.042569199999999995,35.5585,0.42729700000000004,22.4429,32.9597,0.538453,91.6607,0.9695520000000001,3.5249699999999997,3.6550800000000003,39.3484,0.43579300000000004,0.11174300000000001,10.6885,3.85888,0.23461700000000002,3.2274700000000003,6.76455,40.7507
161,0.8493850000000001,0.348695,0.5688880000000001,0.011301700000000001,0.0193905,83.9969,43.6346,60.8732,0.363077,0.0625231,9.333160000000001,43.0196,1.9133099999999998,9.248660000000001,99.9319,100.0,0.591895,1.4131,3.60196,0.010298,41.2267,91.0492,6.80598,0.292721,34.0059,89.0615,61.7539,43.4815,51.3996,1.45138,0.814876,0.013502799999999999,26.9334,46.7981,74.9075,21.5232
162,0.8493850000000001,0.18504500000000002,0.48198100000000005,0.0232608,0.226149,4.94612,19.8554,0.06766010000000001,0.21881599999999998,0.5772510000000001,6.00898,38.8409,12.1639,19.5266,81.0744,98.7453,0.025347900000000003,0.6229680000000001,0.01,1.49386,9.376,33.6725,4.0564,100.0,0.271096,0.14585399999999998,15.6638,1.4895399999999999,36.9668,34.5527,8.093869999999999,28.2781,55.7873,100.0,94.8129,17.441
163,0.8493850000000001,0.278334,0.56925,0.0168577,0.0272198,95.74799999999999,99.9987,11.5814,0.519766,0.011764,12.225,95.1556,2.6329700000000003,13.8072,99.0015,3.4518400000000002,0.0114691,1.2703200000000001,1.88855,0.010701,10.9899,55.2222,8.54599,99.6183,95.7357,0.8157260000000001,0.0107241,99.8523,50.2744,1.00868,99.066,0.01,99.9984,2.16099,98.8846,6.01041
164,0.8493850000000001,0.27023400000000003,0.5691890000000001,0.03439280000000001,0.318222,43.3823,99.98100000000001,59.3765,0.40768000000000004,2.60901,12.0035,82.7921,1.84326,9.54296,100.0,6.96772,0.0164723,1.45234,6.52074,0.010063200000000001,14.100999999999999,52.7585,7.5510600000000005,33.0564,28.9826,99.9113,81.8919,7.9122699999999995,98.3331,33.4262,99.0678,0.01,7.914219999999999,1.0467600000000001,56.6647,11.1578
165,0.8493850000000001,0.24480700000000002,0.326785,13.6237,7.2963,5.55106,3.9681300000000004,20.0526,0.027830700000000003,0.0121262,0.374366,8.90565,0.01,0.01,19.8284,100.0,0.0288903,0.113649,19.6464,1.91125,8.35435,19.6588,13.5412,0.251248,1.47843,7.52807,7.01222,12.4173,11.8665,9.28817,11.1026,30.8405,90.338,27.1024,0.0101391,16.8057
