,RSS,PI3K_T_ZR751,RICTOR_T_ZR751,RPTOR_T_ZR751,mTOR_T_ZR751,kIRS1Inact,FourEBP1_scale,kS6KPhos,kmTORC1_Dis,S6KpT389_scale,kmTORC1Dephos,kAktByTor2Phos,IRS1_scale,kS6KDephos,Akt_scale,kTSC2PhosBoost,PRAS40pT246_scale,kPras40Dephos,kRAS,AAB,kTSC2Dephos,kAktPhos_kcat,TSC2pT1462_scale,kFourEBP1Phos,kIRS1Phos,kIRS1Act,kmTORC1LysToCyt,kmTORC1cytToLys,kmTORC2_Dis,FourEBP1pT37_46_scale,S6K_scale,kPI3KDephos,TSC2_scale,IRS1pS636_639_scale,kTSC2Phos,kmTORC2Dephos,kFourEBP1Dephos,kmTOR_RIC_Comb,kPras40Phos,AktpT308_scale,InsulinB,kmTORC1Phos,kmTOR_RPT_Comb,AktpS473_scale,kmTORC2DephosByS6K,kPI3KPhos,PRAS40_scale,kAktByTor2Dephos,kAktDephos,paramSet
0,0.868566,0.00970167,6.22445,0.010115100000000002,45.9747,0.10542,1.000000533455628,66.4111,11.1084,164.35531489634894,73.8814,0.01,1.0000003896794922,8.76285,1.000002866759577,43.3237,1283.7344446460158,0.0274522,96.165,0.315445,54.9662,0.01,7850.5009164509875,72.6517,75.648,0.333644,71.7928,12.6365,5.27913,7.386534234549353,1.000003306283492,26.9615,0.9999996490557403,1.6464817206025055,4.32067,40.0039,0.366954,99.8442,0.015327,737.4251762660653,0.162849,89.4033,0.39404,248.6946809833616,99.3196,35.7518,1.000000406193298,10.818,0.0100006,5
1,0.868566,0.00970233,6.2228900000000005,0.0101101,46.0198,0.10542,1.000000533455628,66.4111,11.1084,164.35531489634894,73.8814,0.01,1.0000003896794922,8.76285,1.000002866759577,43.3237,1283.7344446460158,0.0274522,96.165,0.315445,54.9662,0.01,7850.5009164509875,72.6517,75.648,0.333644,71.7928,12.6365,5.27913,7.386534234549353,1.000003306283492,26.9615,0.9999996490557403,1.6464817206025055,4.32067,40.0039,0.366954,99.8442,0.015327,737.4251762660653,0.162849,89.4033,0.39404,248.6946809833616,99.3196,35.7518,1.000000406193298,10.818,0.0100006,5
2,0.868566,0.00970221,6.22513,0.0101252,45.8824,0.10542,1.000000533455628,66.4111,11.1084,164.35531489634894,73.8814,0.01,1.0000003896794922,8.76285,1.000002866759577,43.3237,1283.7344446460158,0.0274522,96.165,0.315445,54.9662,0.01,7850.5009164509875,72.6517,75.648,0.333644,71.7928,12.6365,5.27913,7.386534234549353,1.000003306283492,26.9615,0.9999996490557403,1.6464817206025055,4.32067,40.0039,0.366954,99.8442,0.015327,737.4251762660653,0.162849,89.4033,0.39404,248.6946809833616,99.3196,35.7518,1.000000406193298,10.818,0.0100006,5
3,0.868566,0.00970275,6.22494,0.0101381,45.7601,0.10542,1.000000533455628,66.4111,11.1084,164.35531489634894,73.8814,0.01,1.0000003896794922,8.76285,1.000002866759577,43.3237,1283.7344446460158,0.0274522,96.165,0.315445,54.9662,0.01,7850.5009164509875,72.6517,75.648,0.333644,71.7928,12.6365,5.27913,7.386534234549353,1.000003306283492,26.9615,0.9999996490557403,1.6464817206025055,4.32067,40.0039,0.366954,99.8442,0.015327,737.4251762660653,0.162849,89.4033,0.39404,248.6946809833616,99.3196,35.7518,1.000000406193298,10.818,0.0100006,5
4,0.9167219999999999,0.0105913,0.0286742,4.98952,92656.5,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
5,0.9167219999999999,0.0105916,0.028679800000000002,4.989669999999999,90582.8,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
6,0.9167219999999999,0.0105926,0.0286777,4.9896199999999995,91760.7,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
7,0.916723,0.010592299999999999,0.0287918,4.98969,59748.0,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
8,0.916723,0.010592,0.028698400000000002,4.98982,82748.5,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
9,0.916723,0.0105925,0.028659699999999996,4.99003,99935.2,0.179979,1.000000533455628,7.08637,1.3769999999999998,14.421094849250224,36.8464,2.09582,1.0000003896794922,89.5491,1.000002866759577,16.583,3217490.020383186,0.01,0.026003700000000005,0.0107113,0.160001,0.0172239,20900.471696760902,2.81076,10.233,0.0321246,0.182601,53.8298,14.5143,5.265508619912619,1.000003306283492,28.1671,0.9999996490557403,5.5161519405881725,25.6512,43.2107,11.0353,0.0207741,0.0100435,3332017.4195104167,0.5691970000000001,9.04838,3.3711,62192.422155579494,0.035957800000000005,0.010103399999999998,1.000000406193298,2.56548,0.0100001,1
