,RSS,AAB,InsulinB,PI3K_T_MCF7,PI3K_T_ZR751,RICTOR_T_MCF7,RICTOR_T_ZR751,RPTOR_T_MCF7,RPTOR_T_ZR751,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7,mTOR_T_ZR751
147,2.20286,0.332669,0.293195,38.9955,36.5722,7.51185,6.35838,11.4796,7.881410000000002,99.2003,0.124881,96.3324,4.83216,99.2083,0.0127328,0.0179997,94.7393,1.67738,99.8362,0.0357061,0.01,3.89418,15.1807,25.7787,5.13546,99.8838,1.22677,99.9676,99.1231,100.0,61.9021,18.0264,52.2346,11.902,0.0103969,1.52762,100.0,1.2157,19.6137,18.8045
148,2.20286,0.20975,0.289773,11.3188,10.5232,78.5126,20.4592,20.3239,10.104,40.5385,0.0191749,35.329,0.856402,97.537,0.0101067,0.692941,97.7279,56.979,99.9686,0.0573087,0.01,18.0431,51.5756,100.0,12.6785,0.0965621,0.0113839,93.9207,11.0423,4.9699800000000005,5.72725,18.591,34.8783,0.0100096,0.010483200000000002,44.3709,17.6221,38.0793,25.0666,23.9787
149,2.20338,0.5226890000000001,0.294631,59.4732,55.7141,39.8332,37.3033,33.3961,62.9164,100.0,0.0243434,14.9512,0.0100476,52.909,0.0120903,0.0130042,100.0,1.36179,23.205,0.0615198,0.01,25.9126,38.5429,100.0,70.9855,99.9942,3.72629,99.9859,51.9297,39.7187,6.94755,82.912,13.7351,0.0100304,0.0100853,34.3615,30.7805,3.90852,95.5874,57.8277
150,2.20342,0.12015,0.294825,11.0612,10.3585,14.7749,59.9323,19.8911,17.2755,21.5144,0.0175908,29.6721,18.2735,29.846,0.0128055,0.0129939,99.2966,1.38622,13.6091,0.0105551,0.01,0.5203800000000001,84.6922,9.05633,23.1658,95.8057,0.0112596,99.7861,99.9479,3.77265,0.287576,1.13887,17.9998,62.0691,0.0102952,13.7655,13.436,22.093000000000004,34.8538,23.7199
151,2.20362,0.0990843,0.235415,35.1889,33.168,56.0667,46.9273,36.5976,28.2337,90.6561,0.0521927,37.5219,35.9947,6.58605,1.24543,4.23431,22.1139,99.936,60.5894,0.17419400000000002,0.01,0.0278643,90.206,19.9501,6.74429,0.11364,0.01,37.792,41.3667,59.8181,100.0,5.6437599999999986,87.9051,0.0113925,0.0121831,54.75,99.936,0.38018,41.4333,35.0947
152,2.20365,0.30980100000000005,0.270828,99.0372,92.7317,44.0574,2.06447,37.7337,8.53249,99.5265,7.74832,3.57148,0.016792599999999998,99.1739,0.010015,1.15127,23.769,99.6811,99.9949,0.761945,0.01,0.78725,44.0929,23.1262,2.09167,76.9818,0.239837,37.5722,92.3139,53.4606,41.2621,11.5815,36.9118,27.8115,0.0100006,6.3011599999999985,0.0137794,1.3081200000000002,13.6486,74.2202
153,2.20423,0.31042800000000004,0.284524,60.1985,56.1888,15.2321,8.209439999999999,27.5509,18.819000000000006,10.4886,0.01,44.6269,0.5538,48.4258,0.0101735,0.189939,24.2508,20.8394,99.9144,0.684523,0.01,0.546655,21.415,32.8577,67.2727,0.0751575,0.0100046,92.9331,47.9216,25.3697,0.194976,0.344915,19.2369,0.0116747,0.0101302,17.8468,16.7013,7.77964,38.2444,100.0
154,2.20426,0.387369,0.205522,13.7349,12.8228,19.033,23.2159,12.4183,13.7238,99.1454,0.040649800000000014,22.6954,2.17787,99.9929,0.0100642,0.316654,0.969408,24.1034,99.9627,0.0204816,0.010000299999999998,10.4262,4.9023900000000005,8.84278,23.9192,99.3817,98.3573,97.3862,99.9986,99.9922,0.87426,0.422601,42.4431,0.0140098,0.0407422,2.3376200000000003,63.3235,8.6954,99.0865,24.8611
155,2.20427,0.513571,0.28444200000000003,10.5983,9.90292,45.5102,22.7293,16.6061,8.73194,89.2784,0.0306284,4.45622,2.36922,51.0379,0.0312392,0.673032,99.1045,71.2718,99.3966,0.0102755,0.010000299999999998,4.81009,44.3809,3.56517,6.9150100000000005,99.9577,99.9728,99.929,28.633000000000006,89.0798,1.56046,20.5597,13.9275,10.2703,0.0130793,26.7984,24.4213,27.6188,38.5521,67.0291
156,2.2042900000000003,0.575357,0.288091,47.7455,44.4099,0.967304,0.8104439999999999,1.99504,1.39686,99.9966,0.99026,41.2325,5.87451,23.8445,0.01,0.0123728,100.0,97.0683,94.1912,0.0490561,0.01,0.7803260000000001,29.1893,0.232398,0.0413202,100.0,0.5431560000000001,100.0,19.877,99.9909,0.7301380000000001,0.014019,7.868989999999998,2.96055,0.0177505,22.0044,27.1002,2.22052,41.4552,78.8953
